state,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,2538,2808,2717,2484,1175,1099,1123
Arunachal Pradesh,75,65,73,69,86,57,46
Assam,1223,1303,1368,1354,1451,1343,1149
Bihar,3362,3198,3566,3441,3403,3178,2581
Chhattisgarh,1065,1110,998,945,998,929,957
Goa,35,48,45,36,34,31,30
Gujarat,1048,1126,1126,1118,1124,1150,1120
Haryana,1005,1062,991,982,1106,1002,1057
Himachal Pradesh,132,130,113,104,130,106,101
Jammu and Kashmir,217,169,124,150,156,133,142
Jharkhand,1689,1747,1694,1630,1658,1536,1514
Karnataka,1805,1820,1860,1601,1636,1557,1573
Kerala,363,365,374,372,367,334,305
Madhya Pradesh,2423,2511,2373,2112,2274,2339,2004
Maharashtra,2744,2818,2712,2512,2670,2509,2299
Manipur,92,78,83,93,96,81,78
Meghalaya,134,170,137,166,159,149,108
Mizoram,48,26,30,27,42,36,29
Nagaland,45,46,75,78,58,51,36
Odisha,1308,1477,1548,1454,1450,1473,1328
Punjab,907,842,855,711,767,701,771
Rajasthan,1421,1461,1461,1573,1637,1569,1551
Sikkim,17,14,7,15,12,17,17
Tamil Nadu,1875,1877,1949,1936,1805,1748,1603
Telangana,,NA,NA,NA,1308,1188,1046
Tripura,150,163,124,142,140,144,145
Uttar Pradesh,4401,4951,4966,5047,5150,4732,4889
Uttarakhand,176,178,217,197,218,192,194
West Bengal,2398,2109,2252,2264,2217,2096,2044
